run_id,date,plan_id,branch,commit,tag,firmware_version,ha_config_version,analysis_version,workload,protocol,topology,interference,load_level,node_count,interval_ms,timestamp_source,run_path,status,notes,pipeline_version,is_baseline,comparison_group,run_type,replicate_id,baseline_ref,interval_nominal_ms,interval_jitter_ms,iperf_profile,ap_model,ap_firmware,ap_channel_mode,ap_channel,ap_width_mhz,ap_control_sideband,ap_rf_source
R001,27/03/2026,W0,testbed-dev,0c374ef,,0.1.0,0.1.0,0.1.0,W0,wifi,near,quiet,single,1,5000,python_logger,experiments/runs/R001,complete,Informal pre-experiment Wi-Fi RTT validation run,0.1.0,FALSE,,other,primary,,,,,,,,,,,
R101,27/03/2026,W1,testbed-dev,0c374ef,,0.1.0,0.1.0,0.1.0,W1,wifi,near,quiet,single,1,manual,python_logger,experiments/runs/R101,complete,Manual button-triggered Wi-Fi RTT baseline for wifi01,0.1.0,FALSE,,baseline,primary,,,,,,,,,,,
R102,29/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,wifi,near,quiet,single,1,manual,ESP32_RTT,experiments/runs/R102,complete,Wi-Fi baseline rerun v2; 100 samples; best 0.1.1 Wi-Fi baseline candidate; core dataset 81 samples after RTT<=200 ms filtering,0.1.1,FALSE,,baseline,rep1,,,,,,,,,,,
R103,29/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,wifi,near,quiet,single,1,3000-5000,ESP32_RTT,experiments/runs/R103,complete,Wi-Fi rerun v3 with increased inter-event spacing; 100 samples; outliers persisted so event overlap is not the main cause,0.1.1,FALSE,,other,rep1,,,,,,,,,,,
R104,29/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,wifi,near,quiet,single,1,3000-5000,ESP32_RTT,experiments/runs/R104,complete,Wi-Fi rerun v4 with increased spacing and reduced laptop background load; 100 samples; instability persisted,0.1.1,FALSE,,other,rep2,,,,,,,,,,,
R105,30/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,wifi,near,quiet,single,1,3000-5000,ESP32_RTT,experiments/runs/R105,complete,Wi-Fi rerun v5; best run so far; only 9% outliers; strong core stability but rare extreme spikes remain (max 1.53s),0.1.1,FALSE,,other,rep3,,,,,,,,,,,
R106,31/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,wifi,near,quiet,single,1,3000-5000,ESP32_RTT,experiments/runs/R106,complete,Wi-Fi baseline rerun v6 with Ethernet-connected logger and Wi-Fi disabled; eliminated RF contention; 100 samples; zero outliers; tight latency distribution (max <18 ms),0.1.1,TRUE,,baseline,rep2,,,,,,,,,,,
R201,27/03/2026,W1,testbed-dev,0c374ef,,0.1.0,0.1.0,0.1.0,W1,zigbee,near,quiet,single,1,manual,python_logger,experiments/runs/R201,complete,Baseline Zigbee HA-triggered forwarding run using light.benchmark_device,0.1.0,FALSE,,baseline,primary,,,,,,,,,,,
R202,27/03/2026,W1,testbed-dev,0c374ef,,0.1.0,0.1.0,0.1.0,W1,zigbee,near,quiet,single,1,manual,ha_time + python_logger,experiments/runs/R202,complete,Final median-normalized Zigbee latency dataset using light.benchmark_device,0.1.0,FALSE,,other,primary,,,,,,,,,,,
R203,30/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,zigbee,near,quiet,single,1,manual,ha_time + python_logger,experiments/runs/R203,complete,Final Zigbee baseline rerun v2; 100 samples; strongest Zigbee baseline so far; 97 core samples after ±200 ms filtering,0.1.1,FALSE,,baseline,rep1,,,,,,,,,,,
R204,31/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,zigbee,near,quiet,single,1,manual,ha_time + python_logger,experiments/runs/R204,complete,Zigbee baseline rerun v3 with Ethernet logger; eliminated measurement-induced variability; 100 samples; zero outliers; tight latency distribution (P95 ~11.6 ms),0.1.1,TRUE,,baseline,rep2,,,,,,,,,,,
R301,27/03/2026,W1,testbed-dev,0c374ef,,0.1.0,0.1.0,0.1.0,W1,ble,near,quiet,single,1,manual,t_local_us + python_logger,experiments/runs/R301,complete,Median-normalized BLE latency dataset for ble01 with button-triggered advertising,0.1.0,FALSE,,other,primary,,,,,,,,,,,
R302,30/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,ble,near,quiet,single,1,manual,t_local_us + python_logger,experiments/runs/R302,complete,Final BLE baseline rerun v2; 101 triggers; 99 captured; sequence 1 missed at startup and sequence 83 missed during run; 92 core samples after ±200 ms filtering; core latency formed 7 clusters with ~45 ms spacing,0.1.1,FALSE,,baseline,rep1,,,,,,,,,,,
R303,31/03/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,ble,near,quiet,single,1,manual,t_local_us + python_logger,experiments/runs/R303,complete,BLE baseline rerun v3 with Ethernet logger; 101 triggers; 99 captured; missing sequences 69 and 100; 98 core samples after ±200 ms filtering; improved tail behavior but BLE variability and event loss remain,0.1.1,TRUE,,baseline,rep2,,,,,,,,,,,
R304,07/04/2026,W1,testbed-dev,32e8e1e,v0.1.1,0.1.1,0.1.1,0.1.1,W1,ble,near,quiet,single,1,manual,t_local_us + python_logger,experiments/runs/R304,complete,"BLE confound-check rerun with Ethernet logger after disabling the suspected ambient BLE advertiser; 100 triggers; 97 captured; missing sequences 14, 31, and 55; 92 core samples after ±200 ms filtering; worsened tail behavior; R303 retained as the primary BLE baseline",0.1.1,FALSE,,other,rep1,,,,,,,,,,,
R500,10/04/2026,W2,testbed-dev,7253543,v0.2.1,0.2.1,0.2.1,0.2.1,W2,wifi,near,quiet,single,1,0,INA231 + python_logger,experiments/runs/R500_test,planned,Idle connected baseline for ESP32 + INA231 power node; Wi-Fi and MQTT connected; periodic telemetry disabled; target duration 5 min,0.2.1,,,control,primary,,,,,,,,,,,
R501,13/04/2026,W2,testbed-dev,7253543,v0.2.1,0.2.0,0.1.1,0.2.0,W2,wifi,near,quiet,single,1,0,INA231 + MQTT_logger,experiments/runs/R501,complete,Idle MQTT run (~10 Hz); +1.8% power vs control,0.2.0,,,telemetry,primary,,,,,,,,,,,
R502,10/04/2026,W2,testbed-dev,7253543,v0.2.1,0.2.1,0.2.1,0.2.1,W2,wifi,near,quiet,single,1,1000,INA231 + python_logger,experiments/runs/R502,planned,Periodic Wi-Fi telemetry power run at 1 s interval using ESP32 + INA231 power node; target duration 5 min,0.2.1,,,,,,,,,,,,,,,
R503,10/04/2026,W2,testbed-dev,7253543,v0.2.1,0.2.1,0.2.1,0.2.1,W2,wifi,near,quiet,single,1,5000,INA231 + python_logger,experiments/runs/R503,planned,Periodic Wi-Fi telemetry power run at 5 s interval using ESP32 + INA231 power node; target duration 5 min,0.2.1,,,,,,,,,,,,,,,
R504,10/04/2026,W2,testbed-dev,7253543,v0.2.1,0.2.1,0.2.1,0.2.1,W2,wifi,near,quiet,single,1,10000,INA231 + python_logger,experiments/runs/R504,planned,Periodic Wi-Fi telemetry power run at 10 s interval using ESP32 + INA231 power node; target duration 10 min,0.2.1,,,,,,,,,,,,,,,
R505,13/04/2026,W2_control,testbed-dev,7253543,v0.2.1,0.2.0,0.1.1,0.2.0,W2,wifi,near,quiet,single,1,0,INA231 + serial_capture,experiments/runs/R505,complete,Idle control run with Wi-Fi and MQTT connected but MQTT reporting disabled; 3001 power samples parsed; no event rows,0.2.1,,,control,primary,,,,,,,,,,,
R506,13/04/2026,W2_control,testbed-dev,7253543,v0.2.1,0.2.0,0.1.1,0.2.0,W2,wifi,near,quiet,single,1,1000,INA231 + serial_capture,experiments/runs/R506,complete,1s periodic control run; 3001 power samples; 301 events,0.2.1,,,,,,,,,,,,,,,
R507,14/04/2026,W2,testbed-dev,3a23203,v0.3.0,0.3.0,0.1.1,0.3.0,W2,wifi,near,quiet,single,1,0,ESP32 t_local_us + serial_power,experiments/runs/R507,complete,"Connected idle baseline (no scheduler, no telemetry); 300 s run; reference for W2 v2",0.3.0,TRUE,,control,primary,,,,,,,,,,,
R600,24/04/2026,W3_B0,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,quiet,baseline,1,3000±250,ESP32_RTT,experiments/runs/R600,complete,Automated Wi-Fi W3 baseline; jittered interval,0.4.0,TRUE,W3_wifi_auto,baseline,primary,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R601,24/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,light,1,3000±250,ESP32_RTT,experiments/runs/R601,complete,Wi-Fi latency under light iperf load,0.4.0,FALSE,W3_wifi_auto,load,primary,R600,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R602,24/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,moderate,1,3000±250,ESP32_RTT,experiments/runs/R602,complete,Wi-Fi latency under moderate iperf load,0.4.0,FALSE,W3_wifi_auto,load,primary,R600,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R603,24/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,heavy,1,3000±250,ESP32_RTT,experiments/runs/R603,complete,Wi-Fi latency under heavy iperf load,0.4.0,FALSE,W3_wifi_auto,load,primary,R600,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R604,25/04/2026,W3_B0,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,quiet,baseline,1,3000±250,ESP32_RTT,experiments/runs/R604,complete,Wi-Fi baseline replicate,0.4.0,TRUE,W3_wifi_auto,baseline,rep1,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R605,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,light,1,3000±250,ESP32_RTT,experiments/runs/R605,complete,Wi-Fi light replicate,0.4.0,FALSE,W3_wifi_auto,load,rep1,R600,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
